timestamp,x,y,z
34.4840,0.0000,0.0001,0.0467
34.5160,-0.0001,-0.0002,0.0456
34.5180,-0.0012,-0.0005,0.0369
34.5400,-0.0014,-0.0005,0.0359
34.5470,-0.0020,-0.0015,0.0209
34.5720,-0.0018,-0.0021,0.0164
34.5980,-0.0013,-0.0036,-0.0057
34.6240,-0.0019,-0.0057,-0.0089
34.6470,-0.0090,-0.0041,-0.0012
34.6720,-0.0145,-0.0022,0.0064
34.6960,-0.0149,-0.0011,0.0154
34.7280,-0.0132,-0.0025,0.0255
34.7540,-0.0131,-0.0057,0.0261
34.7660,-0.0104,-0.0065,0.0232
34.7870,-0.0102,-0.0066,0.0232
34.8090,-0.0103,-0.0081,0.0198
34.8340,-0.0118,-0.0087,0.0122
34.8570,-0.0108,-0.0085,0.0097
34.8810,-0.0096,-0.0094,0.0090
34.9060,-0.0102,-0.0099,0.0082
34.9080,-0.0114,-0.0103,0.0081
34.9080,-0.0115,-0.0103,0.0082
34.9390,-0.0116,-0.0104,0.0081
34.9630,-0.0127,-0.0086,0.0079
34.9870,-0.0134,-0.0084,0.0079
35.0150,-0.0111,-0.0081,0.0074
35.0390,-0.0103,-0.0077,0.0059
35.0500,-0.0123,-0.0082,0.0081
35.0740,-0.0124,-0.0082,0.0083
35.1050,-0.0102,-0.0111,0.0111
35.1320,-0.0010,-0.0166,0.0132
35.1560,0.0062,-0.0245,0.0106
35.1840,0.0087,-0.0288,0.0048
35.1930,0.0063,-0.0295,0.0042
35.2190,0.0035,-0.0296,0.0041
35.2540,-0.0025,-0.0305,0.0013
35.2820,-0.0114,-0.0281,-0.0015
35.3050,-0.0170,-0.0227,0.0003
35.3090,-0.0209,-0.0203,0.0026
35.3270,-0.0211,-0.0203,0.0026
35.3510,-0.0248,-0.0210,0.0045
35.3570,-0.0246,-0.0189,0.0075
35.3740,-0.0246,-0.0188,0.0075
35.3960,-0.0245,-0.0187,0.0115
35.4210,-0.0262,-0.0253,0.0215
35.4330,-0.0271,-0.0265,0.0268
35.4400,-0.0264,-0.0235,0.0309
35.4600,-0.0257,-0.0221,0.0314
35.4730,-0.0228,-0.0170,0.0295
35.4980,-0.0218,-0.0152,0.0277
35.5070,-0.0153,-0.0146,0.0214
35.5360,-0.0102,-0.0159,0.0180
35.5400,-0.0027,-0.0166,0.0109
35.6020,0.0007,-0.0143,0.0051
35.6300,0.0033,-0.0121,0.0073
35.6550,0.0046,-0.0128,0.0067
35.6800,0.0088,-0.0173,0.0046
35.7030,0.0144,-0.0243,-0.0022
35.7250,0.0143,-0.0267,-0.0085
35.7510,0.0111,-0.0240,-0.0089
35.7760,0.0028,-0.0223,-0.0060
35.8050,-0.0025,-0.0241,-0.0022
35.8300,0.0015,-0.0254,-0.0006
35.8520,0.0116,-0.0243,0.0003
35.8800,0.0196,-0.0271,0.0085
35.8900,0.0216,-0.0231,0.0190
